Age_Group,Sex,Year_Level,In_relationship,Personality,Home_Region,Living_Situation,Dorm_Area,Roommates,Degree_Program,In_Organization,Hours_of_Study_per_Week,Monthly_Allowance,Family_Monthly_Income,Have_Scholarship,Have_Job,Meal_Preferences,Frequency_of_Going_Home,Have_Health_Concern,Preferred_Payment_Method,Living_Expenses,Food_and_Dining_Expenses,Transportation_Expenses,Leisure_and_Entertainment_Expenses,Academic_Expenses
21-23,Female,Senior,No,Introvert,Central Luzon,Outside Campus,Lopez Ave,I live with more than 3 roommates,BS Forestry,Yes,More then 40 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,No,Cash,4000,3000,1000,0,0
27 and above,Female,Sophomore,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,Doctor of Veterinary Medicine,Yes,Less then 10 hours,27000,"P48,121 - P84,210",No,No,A combination of the above,Always,No,Cash,12000,5000,5000,3000,2000
18-20,Female,Freshman,No,Introvert,Central Luzon,Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Development Communication,Yes,31-40 hours,8900,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,3000,4000,400,1000,500
18-20,Female,Freshman,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Development Communication,No,Less then 10 hours,"9,500","P48,121 - P84,210",No,No,A combination of the above,Sometimes,No,Combination of the three,5000,2000,1000,1000,500
21-23,Male,Sophomore,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Applied Mathematics,Yes,21-30 hours,15700,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,5000,9000,500,1000,200
21-23,Male,Sophomore,Yes,Extrovert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Applied Mathematics,Yes,Less then 10 hours,14200,"P144,361 - P240,600",Yes,No,A combination of the above,Sometimes,No,Cash,5000,7000,1000,1000,200
18-20,Male,Freshman,No,Ambivert,Central Luzon,With family,Anos,With family,BS Applied Mathematics,Yes,21-30 hours,"40,000","P24,061 - P48,120",Yes,Yes,A combination of the above,Always,No,Combination of the three,0,5000,3000,8000,500
18-20,Male,Sophomore,No,Introvert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Agricultural and Applied Economics,Yes,21-30 hours,8950,"Less than P12,030",Yes,No,A combination of the above,Often,No,Combination of the three,4500,3000,750,500,200
18-20,Male,Freshman,No,Introvert,Central Luzon,Inside campus,UP Dorm,I live with 2-3 roommates,BS Development Communication,No,21-30 hours,5550,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,1100,2700,850,150,750
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Development Communication,Yes,31-40 hours,"13,000","P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Online Payment ,7000,4000,0,2000,0
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with more than 3 roommates,BS Development Communication,No,10-20 hours,8400,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3100,3000,1000,1000,300
18-20,Female,Freshman,No,Ambivert,Northern Luzon (Ilocos & Cagayan Valley),Outside Campus,Agapita,I live with 1 roommate,BS Development Communication,No,Less then 10 hours,12000,"P144,361 - P240,600",No,Yes,A combination of the above,Always,No,Cash,500,8000,400,1000,100
24-26,Male,Junior,Yes,Ambivert,Metro Manila,Inside campus,Kanan,I live alone,BS Human Ecology,Yes,Less then 10 hours,12000,"P24,061 - P48,120",No,No,A combination of the above,Often,No,Cash,3500,1500,400,0,200
18-20,Female,Freshman,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 1 roommate,BS Computer Science,No,21-30 hours,13500,"P144,361 - P240,600",Yes,No,A combination of the above,Always,No,Online Payment ,7000,4000,500,1000,1000
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Computer Science,No,Less then 10 hours,44840,"P84,211 - P144,360",Yes,No,A combination of the above,Always,No,Cash,0,40000,340,4000,500
18-20,Male,Freshman,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,BS Computer Science,No,10-20 hours,8900,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,4500,3500,300,500,100
21-23,Male,Sophomore,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,Yes,Less then 10 hours,7050,"P84,211 - P144,360",No,No,A combination of the above,Always,No,Combination of the three,5000,250,300,1000,500
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Raymundo,I live with 1 roommate,BS Computer Science,Yes,Less then 10 hours,9700,"P12,031 - P24,060",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4500,4000,100,1000,100
21-23,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 2-3 roommates,BS Computer Science,No,10-20 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,Yes,Cash,3300,3500,300,700,100
18-20,Female,Sophomore,Yes,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,No,10-20 hours,5500,"Less than P12,030",No,No,I cook my meals,Always,Yes,Cash,1000,2000,1000,1000,500
21-23,Male,Sophomore,No,Ambivert,Metro Manila,Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,Yes,Less then 10 hours,9700,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3500,4500,1200,500,0
21-23,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Computer Science,Yes,Less then 10 hours,8000,"P48,121 - P84,210",Yes,No,A combination of the above,Rarely,No,Cash,1000,5000,200,0,200
18-20,Female,Freshman,No,Introvert,Metro Manila,Outside Campus,Lopez Ave,I live with 1 roommate,BS Computer Science,Yes,Less then 10 hours,8000,"More than P240,601",Yes,No,A combination of the above,Always,No,Combination of the three,6000,700,200,1000,100
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 2-3 roommates,BS Computer Science,No,Less then 10 hours,10000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,5000,400,400,400,300
18-20,Male,Freshman,No,Ambivert,Central Luzon,Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,8700,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,1200,6000,0,1500,0
18-20,Male,Freshman,Yes,Extrovert,Central Luzon,Outside Campus,Raymundo,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,8100,"P24,061 - P48,120",No,No,I cook my meals,Not at all,No,Cash,3500,3000,100,1000,500
18-20,Female,Sophomore,Yes,Ambivert,Metro Manila,Outside Campus,Umali,I live with 1 roommate,BS Chemistry,Yes,10-20 hours,16200,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Combination of the three,6000,4000,1200,2000,3000
21-23,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Others,I live with more than 3 roommates,BS Agriculture,Yes,21-30 hours,8300,"Less than P12,030",Yes,No,I cook my meals,Always,No,Cash,3000,4000,500,500,300
21-23,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Agriculture,Yes,More then 40 hours,25000,"P24,061 - P48,120",No,No,A combination of the above,Rarely,No,Combination of the three,7000,14000,1000,2000,1000
18-20,Female,Sophomore,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Chemistry,No,31-40 hours,11800,"P84,211 - P144,360",No,No,A combination of the above,Always,No,Cash,7000,2000,800,1000,1000
21-23,Female,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,Less then 10 hours,5569,"Less than P12,030",Yes,Yes,A combination of the above,Rarely,No,Cash,569,2000,1000,1000,1000
21-23,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 1 roommate,BS Agriculture,No,31-40 hours,15700,"More than P240,601",Yes,No,A combination of the above,Always,No,Cash,4200,6400,1600,2000,1500
18-20,Male,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live alone,BS Statistics,Yes,10-20 hours,22500,"P48,121 - P84,210",Yes,Yes,I cook my meals,Often,No,Online Payment ,7500,10000,0,5000,0
21-23,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live alone,BS Agriculture,No,21-30 hours,13000,"P48,121 - P84,210",Yes,No,A combination of the above,Always,No,Combination of the three,7000,4000,1000,500,500
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,8800,"P48,121 - P84,210",No,No,A combination of the above,Always,Yes,Cash,4000,3500,100,1000,200
21-23,Female,Senior,No,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,5188,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,688,3000,800,500,200
18-20,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Kaliwa,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,8200,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,No,Cash,3000,4500,300,200,200
21-23,Male,Junior,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,21-30 hours,9350,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,2750,5000,500,600,500
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,9750,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Cash,4000,5000,250,200,300
21-23,Male,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Agriculture,Yes,Less then 10 hours,11500,"Less than P12,030",Yes,No,A combination of the above,Always,No,Cash,0,9000,1000,1000,500
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,More then 40 hours,3000,"Less than P12,030",Yes,No,A combination of the above,Often,No,Cash,900,1500,200,200,200
21-23,Male,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with more than 3 roommates,BS Statistics,Yes,More then 40 hours,8000,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3000,2000,400,0,500
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Mathematics and Science Teaching,Yes,31-40 hours,3700,"More than P240,601",Yes,No,A combination of the above,Always,No,Combination of the three,0,3000,0,500,200
21-23,Female,Junior,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 1 roommate,BS Agriculture,Yes,10-20 hours,10980,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Cash,5000,2500,480,2000,1000
18-20,Female,Junior,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 1 roommate,BS Statistics,No,10-20 hours,11750,"P144,361 - P240,600",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,3850,4800,1600,1000,500
21-23,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live alone,BS Statistics,Yes,10-20 hours,15000,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Cash,3300,8000,500,2200,1000
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 1 roommate,BS Agriculture,No,10-20 hours,14100,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Cash,6000,3000,1100,3000,1000
18-20,Female,Junior,No,Ambivert,Metro Manila,Outside Campus,Umali,I live with 1 roommate,BS Statistics,Yes,More then 40 hours,9500,"P24,061 - P48,120",Yes,No,I cook my meals,Rarely,Yes,Combination of the three,3000,4500,300,1000,200
21-23,Female,Junior,No,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,31-40 hours,16000,"More than P240,601",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,5000,6000,1500,3000,500
21-23,Female,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Lopez Ave,I live with 1 roommate,BS Statistics,Yes,10-20 hours,16000,"More than P240,601",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Online Payment ,8000,5000,500,2000,500
18-20,Male,Junior,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,10-20 hours,8099,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Not at all,No,Cash,4000,3000,399,200,500
18-20,Male,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Statistics,Yes,21-30 hours,8500,"P48,121 - P84,210",Yes,No,A combination of the above,Always,No,Combination of the three,0,5000,800,2500,200
18-20,Female,Freshman,No,Ambivert,Central Luzon,Outside Campus,Agapita,I live alone,BS Statistics,Yes,Less then 10 hours,11600,"P12,031 - P24,060",Yes,No,I cook my meals,Rarely,No,Cash,7500,3500,500,0,100
18-20,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with more than 3 roommates,BS Chemistry,Yes,10-20 hours,13000,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,5000,5000,1500,1000,500
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,7800,"P48,121 - P84,210",Yes,No,I cook my meals,Often,No,Combination of Cash and Online Payment,4000,3000,300,0,500
18-20,Female,Sophomore,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,BS Chemistry,Yes,More then 40 hours,15000,"P48,121 - P84,210",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,5000,5000,200,1000,200
18-20,Female,Junior,Yes,Extrovert,Metro Manila,Inside campus,Kaliwa,I live with more than 3 roommates,BS Statistics,Yes,21-30 hours,16000,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Combination of the three,4000,8000,500,3000,500
21-23,Female,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live alone,BS Statistics,Yes,21-30 hours,16700,"More than P240,601",Yes,No,I cook my meals,Always,No,Cash,8000,3000,300,400,5000
21-23,Female,Senior,No,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,8000,"P12,031 - P24,060",Yes,No,A combination of the above,Often,Yes,Combination of the three,988,5000,350,1000,200
21-23,Female,Junior,Yes,Extrovert,Central Luzon,With family,Others,With family,BS Statistics,Yes,10-20 hours,7500,"P144,361 - P240,600",Yes,No,I cook my meals,Always,No,Combination of the three,0,3000,520,2000,0
18-20,Male,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,12628,"P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Cash,4600,6000,528,1000,500
21-23,Male,Junior,Yes,Ambivert,Metro Manila,Outside Campus,Raymundo,I live with 2-3 roommates,BS Statistics,Yes,31-40 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Rarely,No,Combination of the three,3000,3000,500,1000,500
21-23,Male,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Bae,With family,BS Statistics,Yes,21-30 hours,6500,"Less than P12,030",Yes,Yes,A combination of the above,Always,Yes,Combination of the three,0,1500,2000,1000,2000
18-20,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,21-30 hours,10000,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,800,6000,500,2000,700
21-23,Female,Senior,Yes,Extrovert,Metro Manila,Outside Campus,Umali,I live with more than 3 roommates,BS Statistics,Yes,More then 40 hours,6700,"Less than P12,030",Yes,No,A combination of the above,Rarely,No,Cash,2800,3000,400,300,200
21-23,Female,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Statistics,Yes,More then 40 hours,20300,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Online Payment ,5200,9000,600,5000,500
21-23,Female,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,10-20 hours,9000,"P84,211 - P144,360",No,No,A combination of the above,Often,No,Combination of the three,1300,5000,800,1000,200
21-23,Female,Junior,Yes,Introvert,Metro Manila,Inside campus,Kaliwa,I live with 2-3 roommates,BS Statistics,No,10-20 hours,13700,"P144,361 - P240,600",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Combination of the three,4200,5000,2000,1500,1000
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Statistics,Yes,10-20 hours,10210,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,3780,4000,780,1500,150
21-23,Male,Junior,Yes,Introvert,Central Luzon,Outside Campus,Lopez Ave,I live alone,BS Statistics,No,10-20 hours,10700,"P12,031 - P24,060",No,No,A combination of the above,Rarely,Yes,Cash,4000,3500,2000,700,500
21-23,Female,Junior,No,Extrovert,Central Luzon,Outside Campus,Demarces,I live with more than 3 roommates,BS Statistics,Yes,Less then 10 hours,12600,"More than P240,601",No,Yes,I cook my meals,Sometimes,Yes,Cash,3200,3500,700,600,300
18-20,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Chemistry,Yes,21-30 hours,12150,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,5000,6000,150,750,250
21-23,Female,Senior,Yes,Ambivert,Central Luzon,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,9150,"P84,211 - P144,360",No,No,A combination of the above,Sometimes,No,Cash,6000,2000,150,500,500
21-23,Male,Junior,No,Ambivert,Metro Manila,Outside Campus,Demarces,I live with 1 roommate,BS Chemistry,Yes,21-30 hours,17000,"P12,031 - P24,060",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4000,9000,1000,2000,1000
21-23,Male,Junior,No,Introvert,Metro Manila,Inside campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,31-40 hours,13300,"P144,361 - P240,600",Yes,No,A combination of the above,Often,No,Cash,2000,9000,1300,750,250
18-20,Female,Sophomore,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Chemistry,Yes,31-40 hours,6500,"P48,121 - P84,210",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Combination of the three,1000,4000,500,500,500
18-20,Male,Sophomore,No,Ambivert,Visayas,Inside campus,Kaliwa,I live with 1 roommate,BS Chemistry,Yes,10-20 hours,22000,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Cash,7500,10000,1000,2000,1500
18-20,Female,Sophomore,No,Introvert,Metro Manila,Inside campus,Kanan,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,4850,"P12,031 - P24,060",Yes,No,A combination of the above,Sometimes,No,Cash,2600,2000,250,0,0
21-23,Female,Junior,No,Introvert,Metro Manila,Inside campus,Kaliwa,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,11500,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Cash,5000,4000,1000,500,1000
21-23,Female,Sophomore,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),With family,Umali,With family,BS Agriculture,Yes,Less then 10 hours,8950,"P48,121 - P84,210",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,0,7800,700,150,300
18-20,Female,Junior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Statistics,Yes,10-20 hours,10000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Cash,3000,5500,500,500,500
21-23,Female,Senior,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 2-3 roommates,BS Statistics,Yes,31-40 hours,12900,"P144,361 - P240,600",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Combination of the three,4000,7500,100,1000,300
21-23,Male,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,8200,"P12,031 - P24,060",No,No,A combination of the above,Rarely,No,Cash,2700,4000,500,500,500
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kanan,I live with 1 roommate,BS Statistics,No,21-30 hours,8000,"P144,361 - P240,600",No,No,A combination of the above,Always,No,Cash,6000,1000,300,200,200
21-23,Male,Junior,Yes,Ambivert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,More then 40 hours,8400,"P12,031 - P24,060",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,1200,5600,800,500,300
18-20,Female,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Demarces,I live with 2-3 roommates,BS Agriculture,Yes,10-20 hours,9000,"P24,061 - P48,120",Yes,No,A combination of the above,Always,Yes,Combination of the three,4000,2000,1000,1000,1000
21-23,Female,Junior,Yes,Extrovert,Metro Manila,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,10-20 hours,12100,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Combination of the three,5000,4000,1000,2000,100
21-23,Female,Junior,Yes,Introvert,Central Luzon,Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,10-20 hours,15800,"P12,031 - P24,060",No,No,A combination of the above,Rarely,No,Combination of the three,5000,10000,400,200,200
21-23,Male,Junior,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,10000,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Cash,1200,4500,400,500,500
18-20,Female,Sophomore,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),With family,Bae,With family,BS Statistics,Yes,10-20 hours,"3,000","Less than P12,030",No,Yes,I cook my meals,Rarely,No,Cash,0,1000,800,500,500
27 and above,Female,Senior,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,10-20 hours,17000,"Less than P12,030",Yes,Yes,"I eat out regularly (carideria, fastfoods, etc.)",Not at all,Yes,Online Payment ,10000,5000,0,1500,500
21-23,Male,Junior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Agriculture,Yes,31-40 hours,12500,"P24,061 - P48,120",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Combination of the three,6000,3000,1200,1800,500
18-20,Female,Freshman,Yes,Ambivert,Central Luzon,Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,8000,"P12,031 - P24,060",Yes,No,A combination of the above,Sometimes,No,Online Payment ,4000,2000,1000,750,250
21-23,Male,Junior,No,Extrovert,Central Luzon,Outside Campus,Demarces,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,16000,"P84,211 - P144,360",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,No,Combination of the three,5000,5000,1000,3000,2000
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,8000,"P12,031 - P24,060",Yes,No,I cook my meals,Always,No,Online Payment ,4000,2500,800,500,200
21-23,Female,Senior,No,Extrovert,Metro Manila,Outside Campus,Demarces,I live with 1 roommate,BS Statistics,Yes,10-20 hours,11500,"P12,031 - P24,060",Yes,No,A combination of the above,Often,No,Online Payment ,4500,6000,500,300,200
18-20,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 1 roommate,BS Statistics,Yes,21-30 hours,9500,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Sometimes,Yes,Cash,2000,5000,1000,1000,500
18-20,Male,Junior,Yes,Introvert,Metro Manila,Outside Campus,Demarces,I live alone,BS Statistics,No,10-20 hours,10300,"P84,211 - P144,360",No,No,A combination of the above,Rarely,Yes,Cash,7750,2250,0,200,100
21-23,Female,Senior,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Umali,I live with 1 roommate,BS Statistics,Yes,31-40 hours,"17,000","P48,121 - P84,210",Yes,No,A combination of the above,Often,No,Combination of the three,3267,10000,370,500,50
18-20,Male,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,14000,"P12,031 - P24,060",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,No,Online Payment ,3000,7000,500,3000,500
18-20,Female,Sophomore,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Statistics,Yes,10-20 hours,7600,"P144,361 - P240,600",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,No,Cash,4000,1500,600,1000,500
21-23,Female,Senior,Yes,Ambivert,Central Luzon,Inside campus,Kaliwa,I live alone,BS Applied Mathematics,Yes,31-40 hours,20000,"P84,211 - P144,360",Yes,No,A combination of the above,Rarely,Yes,Online Payment ,7000,300,1000,1000,500
